Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
30/10/2025,04:51:00,60.14,60.17,60.13,60.17,15,15,3,12
30/10/2025,04:52:00,60.17,60.18,60.14,60.15,46,44,22,24
30/10/2025,04:53:00,60.14,60.22,60.14,60.22,80,67,8,72
30/10/2025,04:54:00,60.22,60.22,60.21,60.21,20,19,5,15
30/10/2025,04:55:00,60.22,60.22,60.16,60.17,78,43,34,44
30/10/2025,04:56:00,60.17,60.17,60.16,60.17,18,18,7,11
30/10/2025,04:57:00,60.17,60.18,60.17,60.18,9,9,3,6
30/10/2025,04:58:00,60.18,60.18,60.16,60.16,12,12,7,5
30/10/2025,04:59:00,60.15,60.18,60.15,60.17,20,19,9,11
30/10/2025,05:00:00,60.16,60.17,60.15,60.16,21,18,13,8
30/10/2025,05:01:00,60.16,60.18,60.16,60.16,10,10,4,6
